Region,Chapter_SubChapter,CODE,BRAND,Plate_No,STATUS
XIII,Agusan del Norte,chapter01,L300 Van / 2005,ZFD 927,Functional
XIII,Agusan del Norte,chapter01,Ford Ranger 4x4 / 2009,NIE 522,Functional
XIII,Agusan del Sur,chapter03,Ford Ranger 4x4 / 2009,NIS 852,Functional
VI,Aklan,chapter04,Ford Ranger 4x4 / 2009,PQU 987,Functional
I,Alaminos City - Western Pangasinan,chapter05,L300 Mitsubishi,AEM 136,Functional
IV-B,Albay Legaspi City,chapter06,Ford Ranger 4x4 / 2009,NIL 542,Functional
CAR,Baguio City,chapter08,Foton View / 2010,SKP-983,Functional
IV-A,Batangas,chapter10,Ford Ranger 4x4 / 2007,ZLU 953-A022,Functional
IV-A,Batangas,chapter10,Toyota Hiace Van / 2009,ZTT 719-A010,Functional
IV-A,Batangas,chapter10,Toyota Hiace Van / 2009,ZTT 699-A009,Functional
CAR,Benguet,chapter11,Toyota Hiace Van / 1993,ZRL 603-A027,Functional
VII,Bohol ,chapter12,Toyota Hiace Van / 1993,ZRL 683-A028,serviceable
VII,Bohol ,chapter12,Ford Ranger 4x4 / 2009,NOP 522,serviceable
VI,Boracay ,chapter13,Toyota Hiace Van / 2009,ZTT 749-A006,Functional
III,Bulacan ,chapter15,Toyota Hiace Van / 2009,ZTR 794,Functional
III,Bulacan ,chapter15,Toyota Hiace Van / 2009,ZTT 729-A009,Functional
NCR,Caloocan City ,chapter17,KIA Besta Van/ 1999,SFC 750,For transfer to Zamboanga
NCR,Caloocan City ,chapter17,Fuso Canter / 1995,ZRL 693-A032,for repair
IV-B,Camarines Sur ,chapter19,Ford Ranger 4x4 / 2009,NIT 971,Functional
VI,Capiz ,chapter20,Ford Ranger 4x4 / 2009,NOP 602,Functional
IV-B,Catanduanes ,chapter21,Kia Besta Van / 1999,CPS 617,Functional
IV-A,Cavite ,chapter22,Toyota Hiace Van / 2009,ZTT 739-A007,Functional
IV-A,Cavite ,chapter22,Toyota Hiace Van / 1993,RDL 173,Functional
VII,Cebu ,chapter23,Toyota Hiace Van / 2009,ZTT 699,Functional
XII,Cotabato ,chapter25,Toyota Hiace Van / 2012,WII 751,Functional
XII,Davao City ,chapter26,Ford Ranger 4x4 / 2009,NIE 472,Functional
XI,Davao del Sur ,chapter28,Toyota Hiace Van / 2009,ZTT 709-A012,Good condition
VIII,Eastern Samar ,chapter30,Toyota Hiace Van,WII 801-A036,Good condition
XII,General Santos City ,chapter31,Toyota Hiace Van / 2009,ZRG 760-A011,Good Running Condition
XII,General Santos City ,chapter31,Ford Ranger 4x4 / 2009,NOP 857,Aircon at patients area needs repair
X,Gingoog City ,chapter32,Kia Besta Van / 1997,WHM 771,Unserviceable
